être			Etre			ETRE
presser		Presser		PRESSER
prêt		Prêt		PRÊT
prêter		Prêter		PRÊTER
preuve		Preuve		PREUVE
prévenir		Prévenir		PREVENIR
prévoir		Prévoir		PREVOIR
printemps		Printemps		PRINTEMPS
pris		Pris		PRIS
prise		Prise		PRISE
prison		Prison		PRISON
privé		Privé		PRIVE
prix		Prix		PRIX
probable		Probable		PROBABLE
problème		Problème		PROBLEME
prochain		Prochain		PROCHAIN
produits		Produits		PRODUITS
professeur		Professeur		PROFESSEUR
profession		Profession		PROFESSION
professionnel		Professionnel		PROFESSIONNEL
profiter		Profiter		PROFITER
profond		Profond		PROFOND
programmer		Programmer		PROGRAMMER
progresser		Progresser		PROGRESSER
projet		Projet		PROJET
promesse		Promesse		PROMESSE
promettre		Promettre		PROMETTRE
proposer		Proposer		PROPOSER
propre		Propre		PROPRE
protéger		Protéger		PROTEGER
protester		Protester		PROTESTER
province		Province		PROVINCE
provisoire		Provisoire		PROVISOIRE
psychologie		Psychologie		PSYCHOLOGIE
publicité		Publicité		PUBLICITE
puissant		Puissant		PUISSANT
pulls		Pulls		PULLS
punir		Punir		PUNIR
qualité		Qualité		QUALITE
quand		Quand		QUAND
quartier		Quartier		QUARTIER
quel		Quel		QUEL
quelle		Quelle		QUELLE
quelque		Quelque		QUELQUE
quelques		Quelques		QUELQUES
qu'est-ce		Qu'est-ce		QUEST
CE
quelquefois		Quelquefois		QUELQUEFOIS
question		Question		QUESTION
queue		Queue		QUEUE
que		Que		QUE
qui		Qui		QUI
quitter		Quitter		QUITTER
quoi		Quoi		QUOI
race		Race		RACE
raciste		Raciste		RACISTE
raconter		Raconter		RACONTER
radio		Radio		RADIO
raisin		Raisin		RAISIN
raison		Raison		RAISON
rajouter		Rajouter		RAJOUTER
ralentir		Ralentir		RALENTIR
ranger		Ranger		RANGER
rappeler		Rappeler		RAPPELER
rapide		Rapide		RAPIDE
rapport		Rapport		RAPPORT
raser		Raser		RASER
rater		Rater		RATER
rattraper		Rattraper		RATTRAPER
récent		Récent		RECENT
recevoir		Recevoir		RECEVOIR
recherche		Recherche		RECHERCHE
réclamer		Réclamer		RECLAMER
recommencer		Recommencer		RECOMMENCER
récupérer		Récupérer		RECUPERER
réduction		Réduction		REDUCTION
réduire		Réduire		REDUIRE
refaire		Refaire		REFAIRE
réfléchir		Réfléchir		REFLECHIR
réflexion		Réflexion		REFLEXION
réfrigérateur		Réfrigérateur		REFRIGERATEUR
réfugier		Réfugier		REFUGIER
refuser		Refuser		REFUSER
regarder		Regarder		REGARDER
règle		Règle		REGLE
règlement		Règlement		REGLEMENT
régler		Régler		REGLER
régresser		Régresser		REGRESSER
régression		Régression		REGRESSION
regretter		Regretter		REGRETTER
régulier		Régulier		REGULIER
rejeter		Rejeter		REJETER
relation		Relation		RELATION
remarquer		Remarquer		REMARQUER
remettre		Remettre		REMETTRE
remplacer		Remplacer		REMPLACER
rencontrer		Rencontrer		RENCONTRER
rendez-vous		Rendez-vous		RENDEZ
VOUS
rendre		Rendre		RENDRE
rentrer		Rentrer		RENTRER
renvoyer		Renvoyer		RENVOYER
réparer		Réparer		REPARER
répéter		Répéter		REPETER
répétition		Répétition		REPETITION
répondre		Répondre		REPONDRE
reporter		Reporter		REPORTER
reposer		Reposer		REPOSER
réserver		Réserver		RESERVER
respecter		Respecter		RESPECTER
respirer		Respirer		RESPIRER
ressentir		Ressentir		RESSENTIR
ressembler		Ressembler		RESSEMBLER
responsable		Responsable		RESPONSABLE
restaurant		Restaurant		RESTAURANT
rester		Rester		RESTER
résultat		Résultat		RESULTAT
résumer		Résumer		RESUMER
retard		Retard		RETARD
retenir		Retenir		RETENIR
retirer		Retirer		RETIRER
retourner		Retourner		RETOURNER
retraite		Retraite		RETRAITE
réunion		Réunion		REUNION
réunir		Réunir		REUNIR
réussir		Réussir		REUSSIR
rêver		Rêver		RÊVER
réveiller		Réveiller		REVEILLER
réveillon		Réveillon		REVEILLON
revenir		Revenir		REVENIR
riche		Riche		RICHE
rideau		Rideau		RIDEAU
rien		Rien		RIEN
rire		Rire		RIRE
rivière		Rivière		RIVIERE
robe		Robe		ROBE
rompre		Rompre		ROMPRE
rose		Rose		ROSE
rouge		Rouge		ROUGE
rouspéter		Rouspéter		ROUSPETER
route		Route		ROUTE
rue		Rue		RUE
sable		Sable		SABLE
sage		Sage		SAGE
saisir		Saisir		SAISIR
saison		Saison		SAISON
salade		Salade		SALADE
salaire		Salaire		SALAIRE
sale		Sale		SALE
salle		Salle		SALLE
salon		Salon		SALON
samedi		Samedi		SAMEDI
sandwich		Sandwich		SANDWICH
sang		Sang		SANG
sans		Sans		SANS
santé		Santé		SANTE
sapin		Sapin		SAPIN
saucisson		Saucisson		SAUCISSON
sauce		Sauce		SAUCE
sauf		Sauf		SAUF
sauter		Sauter		SAUTER
sauvage		Sauvage		SAUVAGE
sauver		Sauver		SAUVER
savant		Savant		SAVANT
savoir		Savoir		SAVOIR
savon		Savon		SAVON
science		Science		SCIENCE
scolaire		Scolaire		SCOLAIRE
sec		Sec		SEC
sécher		Sécher		SECHER
seconde		Seconde		SECONDE
secret		Secret		SECRET
secrétaire		Secrétaire		SECRETAIRE
sens		Sens		SENS
sensation		Sensation		SENSATION
sentiment		Sentiment		SENTIMENT
sel		Sel		SEL
semaine		Semaine		SEMAINE
sensible		Sensible		SENSIBLE
sentir		Sentir		SENTIR
séparer		Séparer		SEPARER
septembre		Septembre		SEPTEMBRE
sérieux		Sérieux		SERIEUX
serpent		Serpent		SERPENT
serpillière		Serpillière		SERPILLIERE
serveur		Serveur		SERVEUR
service		Service		SERVICE
serviette		Serviette		SERVIETTE
seul		Seul		SEUL
seulement		Seulement		SEULEMENT
sévère		Sévère		SEVERE
short		Short		SHORT
siècle		Siècle		SIECLE
siffler		Siffler		SIFFLER
signature		Signature		SIGNATURE
signe		Signe		SIGNE
signer		Signer		SIGNER
simple		Simple		SIMPLE
situation		Situation		SITUATION
skier		Skier		SKIER
slip		Slip		SLIP
sobriquet		Sobriquet		SOBRIQUET
social		Social		SOCIAL
société		Société		SOCIETE
soeur		Soeur		SOEUR
soif		Soif		SOIF
soigner		Soigner		SOIGNER
soirée		Soirée		SOIREE
soldat		Soldat		SOLDAT
soldes		Soldes		SOLDES
soleil		Soleil		SOLEIL
sombre		Sombre		SOMBRE
sommeil		Sommeil		SOMMEIL
son		Son		SON
sonder		Sonder		SONDER
sortir		Sortir		SORTIR
souffrance		Souffrance		SOUFFRANCE
souffrir		Souffrir		SOUFFRIR
souhait		Souhait		SOUHAIT
soupe		Soupe		SOUPE
souple		Souple		SOUPLE
sourd		Sourd		SOURD
sourire		Sourire		SOURIRE
soustraction		Soustraction		SOUSTRACTION
soutien-gorge		Soutien-gorge		SOUTIEN
GORGE
souvenir		Souvenir		SOUVENIR
souvent		Souvent		SOUVENT
spaghetti		Spaghetti		SPAGHETTI
spécial		Spécial		SPECIAL
sport		Sport		SPORT
squelette		Squelette		SQUELETTE
stage		Stage		STAGE
steak		Steak		STEAK
strict		Strict		STRICT
structuré		Structuré		STRUCTURE
structurer		Structurer		STRUCTURER
stupide		Stupide		STUPIDE
stylo		Stylo		STYLO
sucre		Sucre		SUCRE
sucrer		Sucrer		SUCRER
suivre		Suivre		SUIVRE
sujet		Sujet		SUJET
supplément		Supplément		SUPPLEMENT
supplice		Supplice		SUPPLICE
sur		Sur		SUR
sûr		Sûr		SÛR
surnom		Surnom		SURNOM
surprendre		Surprendre		SURPRENDRE
surpris		Surpris		SURPRIS
surprise		Surprise		SURPRISE
surveillant		Surveillant		SURVEILLANT
surveiller		Surveiller		SURVEILLER
symbole		Symbole		SYMBOLE
sympathique		Sympathique		SYMPATHIQUE
syndicat		Syndicat		SYNDICAT
table		Table		TABLE
tableau		Tableau		TABLEAU
tableur		Tableur		TABLEUR
taille		Taille		TAILLE
tante		Tante		TANTE
tantinet		Tantinet		TANTINET
taquiner		Taquiner		TAQUINER
tard		Tard		TARD
tartine		Tartine		TARTINE
taxi		Taxi		TAXI
technique		Technique		TECHNIQUE
téléphone		Téléphone		TELEPHONE
téléphoner		Téléphoner		TELEPHONER
télévision		Télévision		TELEVISION
température		Température		TEMPERATURE
témoigner		Témoigner		TEMOIGNER
temps		Temps		TEMPS
temporaire	Temporaire	TEMPORAIRE
tempérer	Tempérer	TEMPERER
tendre		Tendre		TENDRE
tennis		Tennis		TENNIS
tenter		Tenter		TENTER
terme		Terme		TERME
terre		Terre		TERRE
texte		Texte		TEXTE
thé		Thé		THE
théâtre		Théâtre		THEATRE
thème		Thème		THEME
théorie		Théorie		THEORIE
thermomètre		Thermomètre		THERMOMETRE
ticket		Ticket		TICKET
timbre		Timbre		TIMBRE
timide		Timide		TIMIDE
tirer		Tirer		TIRER
tissu		Tissu		TISSU
toilettes		Toilettes		TOILETTES
toi-même		Toi-même		TOI
MÊME
tomate		Tomate		TOMATE
tomber		Tomber		TOMBER
ton		Ton		TON
tonnerre		Tonnerre		TONNERRE
tort		Tort		TORT
torture		Torture		TORTURE
tourmenter		Tourmenter		TOURMENTER
tournure		Tournure		TOURNURE
tôt		Tôt		TÔT
toucher		Toucher		TOUCHER
toujours		Toujours		TOUJOURS
tour		Tour		TOUR
tourner		Tourner		TOURNER
tourisme		Tourisme		TOURISME
touriste		Touriste		TOURISTE
touristique		Touristique		TOURISTIQUE
tous		Tous		TOUS
tousser		Tousser		TOUSSER
tout		Tout		TOUT
toute		Toute		TOUTE
toutes		Toutes		TOUTES
traduire		Traduire		TRADUIRE
train		Train		TRAIN
transparent		Transparent		TRANSPARENT
transparaître		Transparaître		TRANSPARAÎTRE
travail		Travail		TRAVAIL
travailler		Travailler		TRAVAILLER
travailleur		Travailleur		TRAVAILLEUR
travaux		Travaux		TRAVAUX
tribunal		Tribunal		TRIBUNAL
tricher		Tricher		TRICHER
triste		Triste		TRISTE
tristesse		Tristesse		TRISTESSE
tromper		Tromper		TROMPER
trop		Trop		TROP
trou		Trou		TROU
trouer		Trouer		TROUER
troubler		Troubler		TROUBLER
trouver		Trouver		TROUVER
tuer		Tuer		TUER
typique		Typique		TYPIQUE
unique		Unique		UNIQUE
université		Université		UNIVERSITE
urgent		Urgent		URGENT
user		User		USER
usine		Usine		USINE
utile		Utile		UTILE
utiliser		Utiliser		UTILISER
utilisation		Utilisation		UTILISATION
vacances		Vacances		VACANCES
vache		Vache		VACHE
vague		Vague		VAGUE
vaincre		Vaincre		VAINCRE
vaisselle		Vaisselle		VAISSELLE
valable		Valable		VALABLE
valeur		Valeur		VALEUR
vélo		Vélo		VELO
vendre		Vendre		VENDRE
vendredi		Vendredi		VENDREDI
venir		Venir		VENIR
vent		Vent		VENT
ventiler		Ventiler		VENTILER
verre		Verre		VERRE
vert		Vert		VERT
vers		Vers		VERS
vêtement		Vêtement		VÊTEMENT
vexé		Vexé		VEXE
viande		Viande		VIANDE
vide		Vide		VIDE
vidéo		Vidéo		VIDEO
vie		Vie		VIE
vieux		Vieux		VIEUX
village		Village		VILLAGE
ville		Ville		VILLE
vin		Vin		VIN
vinaigrette		Vinaigrette		VINAIGRETTE
violent		Violent		VIOLENT
visiter		Visiter		VISITER
vite		Vite		VITE
vitre		Vitre		VITRE
vivant		Vivant		VIVANT
voir		Voir		VOIR
voisin		Voisin		VOISIN
voix		Voix		VOIX
voiture		Voiture		VOITURE
voler		Voler		VOLER
vomir		Vomir		VOMIR
voter		Voter		VOTER
vouloir		Vouloir		VOULOIR
vous		Vous		VOUS
voyager		Voyager		VOYAGER
voyou		Voyou		VOYOU
vrai		Vrai		VRAI
vulgaire		Vulgaire		VULGAIRE
vulnérable		Vulnérable		VULNERABLE
wagon		Wagon		WAGON
watt		Watt		WATT
web		Web		WEB
week-end		Week-end		WEEK
END
western		Western		WESTERN
yacht		Yacht		YACHT
yaourt		Yaourt		YAOURT
yoga		Yoga		YOGA
yogourt		Yogourt		YOGOURT
yo-yo		Yo-yo		YO
YO
zapper		Zapper		ZAPPER
zèbre		Zèbre		ZEBRE
zèle		Zèle		ZELE
zen		Zen		ZEN
zodiaque		Zodiaque		ZODIAQUE
zone		Zone		ZONE
zoo		Zoo		ZOO
zoomer		Zoomer		ZOOMER
zygomatique		Zygomatique		ZYGOMATIQUE
